Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1914.06,13.1678579,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,1
CPIQ.SE901,1914.09,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,2
CPIQ.SE901,1914.12,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,3
CPIQ.SE901,1915.03,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,4
CPIQ.SE901,1915.06,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,5
CPIQ.SE901,1915.09,14.91918313,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,6
CPIQ.SE901,1915.12,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,7
CPIQ.SE901,1916.03,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,8
CPIQ.SE901,1916.06,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,9
CPIQ.SE901,1916.09,15.80142933,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,10
CPIQ.SE901,1916.12,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,11
CPIQ.SE901,1917.03,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,12
CPIQ.SE901,1917.06,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,13
CPIQ.SE901,1917.09,16.77585106,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,14
CPIQ.SE901,1917.12,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,15
CPIQ.SE901,1918.03,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,16
CPIQ.SE901,1918.06,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,17
CPIQ.SE901,1918.09,18.54034347,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,18
CPIQ.SE901,1918.12,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,19
CPIQ.SE901,1919.03,18.72469377,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,20
CPIQ.SE901,1919.06,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,21
CPIQ.SE901,1919.09,19.26457599,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,22
CPIQ.SE901,1919.12,0,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,23
